obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"678.46"	"4"	""		"8.540829"	"10.36761"	5	7		
"681.16"	"2"	""		"8.540829"	"10.36060"	5	3		
"682.70"	"5"	""		"8.540829"	"10.35638"	5	7		
"685.29"	"0"	""		""	""				
"686.10"	"3"	""		"8.540829"	"10.34756"	5	3		
"687.07"	"4"	""		""	""				
"688.04"	"4"	""		"8.540829"	"10.34222"	5	7		
"688.8564"	""	""		"7.7304551"	"9.5298144"	3	3		
"690.746"	"1000"	"1.6e+06"	D	"7.7304551"	"9.524891"	3	5		
"691.56"	"5"	""		""	""				
"692.43"	"3"	""		"8.540829"	"10.330946"	5	3		
"693.40"	"1"	""		""	""				
"694.41"	"4"	""		""	""				
"695.07"	"5"	""		"8.540829"	"10.32407"	5	7		
"697.72"	""	""		""	""				
"700.92"	"4"	""		"8.540829"	"10.30925"	5	3		
"702.2"	"0"	""		"8.6189570"	"10.38409"	1	3		
"704.57"	"8"	""		"8.540829"	"10.30010"	5	7		
"708.1901"	"1000"	""		"7.7304551"	"9.4806918"	3	3		
"709.1860"	"800"	""		"7.7304551"	"9.4782339"	3	1		
"710.13"	"2"	""		""	""				
"712.00"	"2"	""		""	""				
"712.56"	"6*"	""		"8.6369628"	"10.37656"	3	3		
"712.56"	"6*"	""		"8.6369628"	"10.37654"	3	5		
"712.56"	"6*"	""		"8.540829"	"10.280199"	5	3		
"713.50"	"4"	""		"8.6189570"	"10.35620"	1	3		
"714.76"	"2d"	""		"8.6369628"	"10.37101"	3	3		
"715.42"	"0d"	""		""	""				
"716.22"	"5"	""		"8.6369628"	"10.36756"	3	5		
"716.90"	"2"	""		""	""				
"717.06"	"0"	""		"8.6189570"	"10.34756"	1	3		
"717.60"	"3d*"	""		"8.540829"	"10.26830"	5	9	E2	
"717.60"	"3d*"	""		"8.540829"	"10.26823"	5	7	E2	
"717.60"	"3d*"	""		"8.540829"	"10.26820"	5	5	E2	
"717.78"	"10"	""		"8.540829"	"10.26769"	5	7		
"719.09"	"3"	""		"8.6369628"	"10.36060"	3	3		
"719.35"	"4"	""		"8.6189570"	"10.34203"	1	3		
"720.91"	"6*"	""		"8.6369628"	"10.35629"	3	5		
"720.91"	"6*"	""		"8.6369628"	"10.35620"	3	3		
"722.24"	"0d"	""		""	""				
"722.75"	"0d"	""		""	""				
"723.94"	"3"	""		""	""				
"724.57"	"3"	""		"8.6369628"	"10.34756"	3	3		
"726.91"	"5*"	""		"8.6369628"	"10.34212"	3	5		
"726.91"	"5*"	""		"8.6369628"	"10.34203"	3	3		
"727.07"	"5"	""		"8.6189570"	"10.32374"	1	3		
"727.84"	""	""		""	""				
"729.49"	"7"	""		"8.540829"	"10.239962"	5	3		
"730.17"	"4"	""		""	""				
"730.36"	""	""		"10.367793"	"12.064883"	3	5		
"731.71"	"4"	""		"8.6369628"	"10.330946"	3	3		
"733.30"	"3"	""		"8.6189570"	"10.30925"	1	3		
"734.1"	"1d"	""		"10.376788"	"12.064883"	3	5		
"734.81"	"8"	""		"8.6369628"	"10.32384"	3	5		
"734.86"	"0d"	""		"8.6369628"	"10.32374"	3	3		
"736.73"	"1d*"	""		"8.540829"	"10.22333"	5	9	E2	
"736.73"	"1d*"	""		"8.540829"	"10.22324"	5	7	E2	
"736.73"	"1d*"	""		"8.540829"	"10.22314"	5	5	E2	
"737.15"	"10"	""		"8.540829"	"10.22234"	5	7		
"737.45"	"4"	""		"8.6189570"	"10.29979"	1	3		
"738.75"	"1d"	""		""	""				
"739.38"	"1d"	""		""	""				
"740.33"	"1d"	""		""	""				
"741.22"	"4"	""		"8.6369628"	"10.30925"	3	3		
"745.39"	"8*"	""		"8.6369628"	"10.299863"	3	5		
"745.39"	"8*"	""		"8.6369628"	"10.29979"	3	3		
"745.67"	"3"	""		"8.6369628"	"10.299231"	3	5		
"746.13"	"2"	""		"8.6189570"	"10.280199"	1	3		
"747.29"	"1d"	""		""	""				
"749.45"	"1d"	""		""	""				
"750.04"	"1d"	""		""	""				
"752.01"	"9"	""		"8.6189570"	"10.26726"	1	3		
"753.16"	"1d"	""		""	""				
"753.39"	"0"	""		""	""				
"754.29"	"4"	""		"8.6369628"	"10.280199"	3	3		
"755.21"	"7"	""		"8.540829"	"10.182076"	5	3		
"756.08"	"1d"	""		""	""				
"757.12"	"1d"	""		""	""				
"758.09"	"1d"	""		""	""				
"760.21"	"7*"	""		"8.6369628"	"10.267419"	3	5		
"760.21"	"7*"	""		"8.6369628"	"10.26726"	3	3		
"760.59"	"4"	""		"8.6369628"	"10.26653"	3	5		
"761.27"	"1d"	""		""	""				
"761.55"	"0"	""		""	""				
"761.88"	"1d"	""		""	""				
"762.08"	"0"	""		""	""				
"763.17"	"1d"	""		""	""				
"763.52"	"0"	""		""	""				
"764.64"	"3"	""		"8.6189570"	"10.239962"	1	3		
"765.37"	"1d"	""		""	""				
"766.69"	"4"	""		"8.540829"	"10.15749"	5	9	E2	
"767.40"	"5"	""		"8.540829"	"10.155986"	5	7		
"767.73"	"3"	""		"8.540829"	"10.155323"	5	5		
"768.52"	"1"	""		"8.540829"	"10.153635"	5	5		
"769.30"	"1d"	""		""	""				
"770.41"	"1d"	""		""	""				
"770.66"	"1d"	""		""	""				
"771.87"	"2"	""		""	""				
"772.02"	"1"	""		""	""				
"772.8825"	"30"	"6.e+05"	D	"7.9260767"	"9.5298144"	1	3		
"773.26"	"5"	""		"8.6369628"	"10.239962"	3	3		
"773.47"	"0"	""		"8.6189570"	"10.221642"	1	3		
"779.52"	"1"	""		""	""				
