obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"522.357"	"5"	""		"11.44304735"	"13.8159493"	7	9		
"522.817729"	"20"	""		"11.30345525"	"13.67425649"	3	3		
"523.206"	"2"	""		"9.91523229"	"12.2842759"	5	7	E2	
"527.461"	"4"	""		"11.30345525"	"13.65338742"	3	5		
"527.98345"	"9"	""		"11.30345525"	"13.65106120"	3	5		
"529.076"	"1"	""		"9.91523229"	"12.2579989"	5	5	E2	
"529.979"	"2h"	""		"11.44465635"	"13.783426"	5	3		
"530.074"	"3"	""		"11.44304735"	"13.781389"	7	5		
"530.443"	"1*"	""		"11.44465635"	"13.78138"	5	3		
"530.443"	"1*"	""		"11.44465635"	"13.781389"	5	5		
"532.202"	"2"	""		"11.44304735"	"13.772048"	7	7		
"532.570"	"1-"	""		"11.44465635"	"13.772048"	5	7		
"532.787"	"2"	""		"11.44465635"	"13.771105"	5	5		
"533.108"	"2*"	""		"11.44304735"	"13.768082"	7	5		
"533.108"	"2*"	""		"11.44304735"	"13.76809427"	7	7		
"533.47550"	"10"	""		"11.44465635"	"13.76809427"	5	7		
"533.772"	"1"	""		"10.03240062"	"12.3545557"	3	3	E2	
"533.91183"	"20"	""		"11.44304735"	"13.76458650"	7	9		
"534.737"	"2"	""		"11.44465635"	"13.7626160"	5	3		
"536.591"	"1h"	""		"11.54582278"	"13.855774"	5	7		
"537.174"	"2"	""		"11.30345525"	"13.61090025"	3	3		
"537.257"	"0"	""		"11.54582278"	"13.852896"	5	5		
"537.96366"	"15"	""		"11.30345525"	"13.60750927"	3	5		
"540.303"	"2h"	""		"11.52611591"	"13.820190"	3	5		
"540.944"	"1h"	""		"11.52611591"	"13.817467"	3	5		
"541.442"	"1"	""		"11.52611591"	"13.815382"	3	3		
"543.177"	"1"	""		"11.54582278"	"13.827689"	5	5		
"544.543"	"1-"	""		"11.30345525"	"13.57968262"	3	5		
"544.786"	"3h"	""		"11.54582278"	"13.821024"	5	7		
"545.639"	"2h"	""		"11.54582278"	"13.817467"	5	5		
"545.880"	"7"	""		"11.44304735"	"13.7136887"	7	5		
"545.947"	"4"	""		"11.44465635"	"13.7150173"	5	3		
"546.137"	"1"	""		"11.54582278"	"13.815382"	5	3		
"546.265"	"2"	""		"11.44465635"	"13.7136887"	5	5		
"547.658"	"2"	""		"9.91523229"	"12.1785051"	5	7	E2	
"548.746"	"1"	""		"11.44304735"	"13.7018443"	7	5		
"548.886"	"5"	""		"11.44304735"	"13.7012627"	7	7		
"549.093596"	"50"	""		"11.30345525"	"13.56080735"	3	5		
"549.133"	"2h"	""		"11.44465635"	"13.7018443"	5	5		
"549.277"	"1"	""		"11.44465635"	"13.7012627"	5	7		
"549.621"	"3"	""		"11.44465635"	"13.69984629"	5	5		
"550.071011"	"50"	""		"11.30345525"	"13.55679637"	3	3		
"550.40053"	"15"	""		"11.44465635"	"13.69664833"	5	7		
"550.43304"	"20"	""		"11.30345525"	"13.55531419"	3	1		
"551.66665"	"20"	"1.54e+04"	C	"10.56241430"	"12.80923809"	1	3		
"552.051024"	"40"	""		"11.44304735"	"13.68830662"	7	9		
"552.117"	"3"	""		"11.52611591"	"13.771105"	3	5		
"552.863"	"2-"	""		"11.52611591"	"13.768082"	3	5		
"553.94"	"1h"	""		"11.54582278"	"13.783426"	5	3		
"554.210"	"1"	""		"11.52611591"	"13.7626160"	3	3		
"554.44"	"1h"	""		"11.54582278"	"13.781389"	5	5		
"555.926"	"2"	""		"11.44465635"	"13.67425649"	5	3		
"556.222534"	"500"	"1.10e+05"	B	"9.91523229"	"12.14365295"	5	5		
"557.028944"	"2000"	"9.80e+05"	B+	"9.91523229"	"12.14042693"	5	3		
"557.313"	"2"	""		"10.03240062"	"12.25646659"	3	1		
"557.56"	"10"	""		"11.44465635"	"13.6676983"	5	7		
"557.764"	"3h"	""		"11.54582278"	"13.768082"	5	5		
"558.038729"	"80"	"6.0e+05"	C	"10.64363486"	"12.86480297"	3	1		
"559.141"	"2"	""		"11.54582278"	"13.7626160"	5	3		
"560.772"	"1"	""		"11.44304735"	"13.65338742"	7	5		
"560.837"	"3"	""		"9.91523229"	"12.1253182"	5	9	E2	
"561.18099"	"4"	""		"11.44465635"	"13.65338742"	5	5		
"564.304"	"1"	""		"9.91523229"	"12.1117410"	5	5	E2	
"564.956177"	"100"	"1.29e+05"	C+	"10.56241430"	"12.75638623"	1	3		
"566.267"	"3"	""		"11.52611591"	"13.7150173"	3	3		
"566.609"	"1"	""		"11.52611591"	"13.7136887"	3	5		
"567.24509"	"50"	"1.5e+04"	C	"9.91523229"	"12.10035133"	5	3		
"569.654"	"3-"	""		"11.52611591"	"13.7020015"	3	3		
"569.695"	"1"	""		"11.52611591"	"13.7018443"	3	5		
"570.21704"	"10"	""		"11.52611591"	"13.69984629"	3	5		
"570.75129"	"40"	"2.59e+04"	D+	"10.64363486"	"12.81533065"	3	5		
"571.411"	"2"	""		"11.54582278"	"13.7150173"	5	3		
"571.761"	"3"	""		"11.54582278"	"13.7136887"	5	5		
"572.18771"	"10"	""		"11.44465635"	"13.61090025"	5	3		
"572.356"	"15"	"8.3e+03"	C	"10.64363486"	"12.80923809"	3	3		
"572.65878"	"20"	""		"11.44304735"	"13.60750927"	7	5		
"573.086"	"4"	""		"11.44465635"	"13.60750927"	5	5		
"574.902"	"5"	""		"11.54582278"	"13.7018443"	5	5		
"575.057"	"10"	""		"11.54582278"	"13.7012627"	5	7		
"575.433"	"1"	""		"11.54582278"	"13.69984629"	5	5		
"575.504"	"2"	""		"11.52611591"	"13.67987426"	3	1		
"576.28954"	"4"	""		"11.54582278"	"13.69664833"	5	7		
"577.556"	"2"	""		"10.03240062"	"12.1785051"	3	7	E2	
"578.38938"	"10"	"2.94e+05"	D+	"11.44304735"	"13.58606436"	7	7		
"578.729"	"6"	"3.1e+03"	D+	"10.64363486"	"12.78539212"	3	5		
"578.824"	"7"	"2.07e+05"	D+	"11.44465635"	"13.58606436"	5	7		
