obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"543.9923"	"30"	""		"9.5697254"	"11.8482457"	3	5		
"544.039"	"15"	""		"9.5697254"	"11.8480632"	3	3		
"544.487"	"1h"	""		"9.6856205"	"11.962072"	5	3		
"545.454"	"1h"	""		"9.7207407"	"11.9931879"	7	5		
"545.645"	"2"	"4.40e+04"	B	"9.5801530"	"11.851770"	3	3		
"546.0037"	"15"	"2.50e+05"	B+	"9.5801530"	"11.8502809"	3	5		
"547.912"	"1h"	""		"9.7207407"	"11.9829591"	7	7		
"548.133"	"1h"	""		"9.6856205"	"11.946939"	5	7		
"548.416"	"1h"	""		"9.5801530"	"11.840302"	3	3		
"548.446"	"4h"	""		"9.6856205"	"11.945633"	5	5		
"548.703"	"6h"	""		"9.7207407"	"11.9796892"	7	9		
"548.8555"	"20h"	""		"9.6856205"	"11.9439532"	5	7		
"552.305"	"1"	""		"9.5697254"	"11.813966"	3	1		
"553.278"	"2h"	"1.80e+05"	B+	"9.7207407"	"11.961020"	7	5		
"554.038"	"3h*"	""		"9.5801530"	"11.8173556"	3	5		
"554.038"	"3h*"	""		"9.5697254"	"11.806964"	3	5		
"555.2385"	"80"	""		"9.5801530"	"11.8125220"	3	5		
"555.310"	"3h"	""		"9.6856205"	"11.917705"	5	3		
"555.506"	"1-"	""		"9.5697254"	"11.801022"	3	5		
"555.728"	"2"	"6.0e+04"	C+	"9.6856205"	"11.916025"	5	5		
"556.350"	"2"	""		"9.5697254"	"11.797638"	3	3		
"556.6615"	"100"	""		"9.5801530"	"11.8068167"	3	3		
"556.777"	"2h"	""		"9.7207407"	"11.946939"	7	7		
"557.527"	"2h"	""		"9.7207407"	"11.9439532"	7	7		
"557.928"	"40"	""		"9.7207407"	"11.942350"	7	9		
"558.1784"	"50"	""		"9.5801530"	"11.8007639"	3	1		
"558.518"	"1-"	""		"9.7893002"	"12.0085719"	3	5		
"559.437"	"6"	""		"9.4471951"	"11.662815"	1	3		
"560.799"	"3"	""		"9.6856205"	"11.8958601"	5	7		
"561.265"	"15"	""		"9.6856205"	"11.894027"	5	5		
"561.8878"	"80"	""		"9.6856205"	"11.8915728"	5	7		
"562.124"	"1"	""		"9.6856205"	"11.8906550"	5	5		
"564.619"	"5"	"2.70e+05"	B+	"9.7207407"	"11.916025"	7	5		
"565.284"	"2h"	""		"9.7893002"	"11.9819949"	3	5		
"565.431"	"1h-"	""		"9.6856205"	"11.8777586"	5	3		
"566.446"	"1h"	""		"9.8210940"	"12.0093004"	5	7		
"568.8373"	"40"	""		"9.5697254"	"11.7487346"	3	5		
"569.5750"	"100"	""		"9.5697254"	"11.7459060"	3	5		
"569.6477"	"80"	""		"9.5697254"	"11.7456284"	3	3		
"569.854"	"8"	""		"9.7207407"	"11.8958601"	7	7		
"570.334"	"1"	""		"9.7207407"	"11.894027"	7	5		
"570.687"	"3"	"7.0e+04"	C+	"9.5801530"	"11.7521006"	3	3		
"570.980"	"10h"	""		"9.7207407"	"11.8915728"	7	7		
"571.221"	"2"	""		"9.7207407"	"11.8906550"	7	5		
"571.5716"	"70"	"3.5e+05"	C+	"9.5801530"	"11.7487336"	3	5		
"571.6252"	"80"	""		"9.7207407"	"11.8891168"	7	9		
"572.214"	"15h"	"3.60e+05"	B+	"9.6856205"	"11.851770"	5	3		
"572.326"	"1h"	""		"9.7893002"	"11.955024"	3	3		
"572.610"	"4"	"9.0e+04"	C+	"9.6856205"	"11.8502809"	5	5		
"573.348"	"4h"	""		"9.8210940"	"11.9829591"	5	7		
"574.017"	"6"	""		"9.5801530"	"11.7395017"	3	3		
"574.073"	"1h"	""		"9.8210940"	"11.9802232"	5	5		
"574.820"	"8h"	""		"9.7893002"	"11.945633"	3	5		
"575.460"	"1h"	""		"9.7893002"	"11.943227"	3	5		
"579.226"	"1h"	"9.0e+04"	C	"9.8210940"	"11.961020"	5	5		
"580.7311"	"15"	""		"9.6856205"	"11.8199992"	5	7		
"581.4505"	"60"	""		"9.6856205"	"11.8173556"	5	5		
"582.052"	"25"	"4.00e+05"	B+	"9.7207407"	"11.8502809"	7	5		
"582.3890"	"300"	""		"9.4471951"	"11.5754959"	1	3		
"582.4800"	"150"	""		"9.6856205"	"11.8135874"	5	7		
"582.772"	"1"	""		"9.6856205"	"11.8125220"	5	5		
"583.063"	"20h"	""		"9.8210940"	"11.946939"	5	7		
"584.083"	"4h"	""		"9.8210940"	"11.943227"	5	5		
"584.343"	"5"	""		"9.6856205"	"11.8068167"	5	3		
"584.546"	"1"	""		"9.8210940"	"11.941558"	5	3		
"584.621"	"2"	""		"9.5697254"	"11.689912"	3	1		
