obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"687.9582"	"5"	"1.8e+05"	D+	"13.15314387"	"14.95485204"	3	5		
"688.8174"	"10"	"2.5e+05"	D+	"13.15314387"	"14.95260474"	3	5		
"693.7664"	"50"	"3.08e+06"	C	"12.90701530"	"14.6936397"	3	1		
"695.1478"	"7"	"2.2e+05"	D	"13.17177770"	"14.95485204"	5	5		
"696.0250"	"7"	"2.4e+05"	D	"13.17177770"	"14.95260474"	5	5		
"696.5431"	"10000"	"6.4e+06"	B+	"11.54835442"	"13.32785705"	5	3		
"703.0251"	"150"	"2.67e+06"	C	"13.07571571"	"14.83881100"	7	5		
"706.7218"	"10000"	"3.8e+06"	B	"11.54835442"	"13.30222747"	5	5		
"706.8736"	"100"	"2.0e+06"	D+	"13.09487256"	"14.84836899"	5	3		
"710.7478"	"25"	"4.5e+05"	D+	"13.09487256"	"14.83881100"	5	5		
"712.5820"	"25"	"6.0e+05"	D+	"13.28263902"	"15.02208834"	3	3		
"714.7042"	"1000"	"6.3e+05"	B	"11.54835442"	"13.28263902"	5	3		
"715.8839"	"15"	"2.1e+06"	D+	"13.28263902"	"15.0140655"	3	1		
"720.6980"	"70"	"2.48e+06"	C	"13.30222747"	"15.02208834"	5	3		
"726.5172"	"15"	"1.7e+05"	D	"13.15314387"	"14.859230"	3	3		
"727.0664"	"7"	"1.1e+05"	D	"13.07571571"	"14.780512"	7	7		
"727.2936"	"2000"	"1.83e+06"	B+	"11.62359272"	"13.32785705"	3	3		
"731.1716"	"35"	"1.7e+06"	D+	"13.15314387"	"14.84836899"	3	3		
"731.6005"	"25"	"9.6e+05"	D+	"13.32785705"	"15.02208834"	3	3		
"735.0814"	"5"	"1.2e+06"	D+	"13.32785705"	"15.0140655"	3	1		
"735.3293"	"70"	"9.6e+05"	D+	"13.09487256"	"14.780512"	5	7		
"737.2118"	"200"	"1.9e+06"	D+	"13.07571571"	"14.7570516"	7	9		
"738.3980"	"10000"	"8.5e+06"	B	"11.62359272"	"13.30222747"	3	5		
"739.2980"	"20"	"7.2e+05"	D+	"13.17177770"	"14.84836899"	5	3		
"741.2337"	"15"	"3.9e+05"	D+	"13.28263902"	"14.95485204"	3	5		
"742.5294"	"10"	"3.1e+05"	D	"13.30222747"	"14.97152236"	5	7		
"743.5368"	"25"	"9.0e+05"	D+	"13.17177770"	"14.83881100"	5	5		
"743.6297"	"10"	"2.7e+05"	D	"13.07571571"	"14.74254085"	7	5		
"750.3869"	"20000"	"4.5e+07"	B	"11.82807116"	"13.47988682"	3	1		
"751.4652"	"15000"	"4.0e+07"	B	"11.62359272"	"13.27303810"	3	1		
"763.5106"	"25000"	"2.45e+07"	B	"11.54835442"	"13.17177770"	5	5		
"772.3761"	"15000"	"5.2e+06"	B+	"11.54835442"	"13.15314387"	5	3		
"772.4207"	"10000"	"1.17e+07"	B+	"11.72316039"	"13.32785705"	1	3		
