obs_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"432.63"	""	""		"32.7002"	"35.5648"	4	4		
"434.1489"	"4"	"3.26e+05"	C+	"2.102297177"	"4.9572937"	2	2		
"434.4736"	"5"	"6.50e+05"	C+	"2.104429202"	"4.9572937"	4	2		
"439.0029"	"8"	"9.83e+05"	B+	"2.102297177"	"4.9257310"	2	4		
"439.3340"	"9*"	"1.17e+06"	B+	"2.104429202"	"4.9257310"	4	6		
"439.3340"	"9*"	"1.95e+05"	B	"2.104429202"	"4.9257310"	4	4		
"441.9885"	"6"	"2.82e+05"	C+	"2.102297177"	"4.9066561"	2	2		
"442.3246"	"7"	"5.61e+05"	C+	"2.104429202"	"4.9066561"	4	2		
"443.23"	"310"	"1.4e+07"	D	"32.7002"	"35.4967"	4	6		
"449.4177"	"10"	"1.23e+06"	B+	"2.102297177"	"4.8602959"	2	4		
"449.7658"	"11*"	"1.46e+06"	B+	"2.104429202"	"4.8602959"	4	6		
"449.7658"	"11*"	"2.44e+05"	B	"2.104429202"	"4.8602959"	4	4		
"454.1633"	"7"	"3.76e+05"	B	"2.102297177"	"4.8314795"	2	2		
"454.5186"	"8"	"7.50e+05"	B	"2.104429202"	"4.8314795"	4	2		
"466.48107"	"1"	"2.08e+06"	B+	"2.102297177"	"4.75941465"	2	4		
"466.85595"	"2*"	"4.14e+05"	B+	"2.104429202"	"4.75941465"	4	4		
"466.85595"	"2*"	"2.49e+06"	A	"2.104429202"	"4.75941304"	4	6		
"474.79410"	"1"	"6.19e+05"	B	"2.102297177"	"4.71289256"	2	2		
"475.18218"	"2"	"1.23e+06"	B	"2.104429202"	"4.71289256"	4	2		
"497.53"	""	""		"33.1388"	"35.6299"	4	2		
"497.85414"	"1"	"4.09e+06"	A	"2.102297177"	"4.59197449"	2	4		
"498.28134"	"2"	"4.88e+06"	A	"2.104429202"	"4.59197201"	4	6		
"501.98"	""	""		"33.0956"	"35.5648"	6	4		
"504.94"	""	""		"33.1752"	"35.6299"	2	2		
"507.12"	"270"	"4.1e+07"	D	"33.0525"	"35.4967"	8	6		
"510.96"	""	""		"33.1388"	"35.5648"	4	4		
"514.88381"	"1"	"1.14e+06"	B+	"2.102297177"	"4.50962989"	2	2		
"515.34024"	"2"	"2.27e+06"	B+	"2.104429202"	"4.50962989"	4	2		
"516.25"	"83"	"1.5e+07"	D	"33.0956"	"35.4967"	6	6		
"525.64"	"7"	"2.e+06"	D	"33.1388"	"35.4967"	4	6		
"541.10"	""	""		"33.3390"	"35.6299"	4	2		
"545.19"	""	""		"33.2915"	"35.5648"	6	4		
"546.64"	""	""		"33.3625"	"35.6299"	2	2		
"556.99"	""	""		"33.3390"	"35.5648"	4	4		
"562.10"	"42"	"1.4e+07"	D	"33.2915"	"35.4967"	6	6		
"562.85"	""	""		"33.3625"	"35.5648"	2	4		
"568.26333"	"5"	"1.01e+07"	A	"2.102297177"	"4.28350081"	2	4		
"568.81934"	"1"	"2.02e+06"	A	"2.104429202"	"4.28350081"	4	4		
"568.82046"	"9"	"1.21e+07"	A	"2.104429202"	"4.28349647"	4	6		
"574.42"	"12"	"4.e+06"	D	"33.3390"	"35.4967"	4	6		
"588.995095"	"80000"	"6.16e+07"	AA	"0.000000000"	"2.104429202"	2	4		
"589.592424"	"40000"	"6.14e+07"	AA	"0.000000000"	"2.102297177"	2	2		
"615.42253"	"1"	"2.50e+06"	A	"2.102297177"	"4.11635883"	2	2		
"616.07470"	"2"	"4.98e+06"	A	"2.104429202"	"4.11635883"	4	2		
"737.323"	"2"	"5.42e+04"	B	"3.1913531"	"4.8724352"	2	4		
"737.349"	"1"	"5.30e+04"	B	"3.1913531"	"4.8723744"	2	2		
